__row,name,alt_name,ra,dec,lii,bii,helio_distance,galcen_distance,x_distance,y_distance,z_distance,metallicity,num_metallicity_measures,reddening,hb_vmag,app_distance_mod,vmag,abs_vmag,ub_color,bv_color,vr_color,vi_color,spect_type,ellipticity,radial_velocity,radial_velocity_error,lsr_radial_velocity,central_sigma_v,central_sigma_v_error,central_concentration,core_collapse_flag,core_radius,half_light_radius,cent_surf_brightness,log_lum_density,log_core_relaxtime,log_hmr_relaxtime,class,__x_ra_dec,__y_ra_dec,__z_ra_dec
1,IC 4499,,225.07688,-82.21369,307.35370,-20.47324,18.8,15.7,10.7,-14.0,-6.6,-1.53,3,0.23,17.65,17.08,9.76,-7.32,0.45,0.91,,,,0.08,31.5,0.2,24.1,2.5,0.5,1.21,,0.84,1.71,20.90,1.55,9.21,9.73,3080,-0.0959264027106867,-0.0956693343672334,-0.990780249967024
2,E 3,,140.23779,-77.28189,292.26822,-19.01702,8.1,9.1,2.9,-7.1,-2.6,-0.83,1,0.30,16.15,15.47,11.35,-4.12,,,,,,,,,,,,0.75,,1.87,2.10,23.10,0.84,8.93,8.80,3080,0.140811473918257,-0.169234034356384,-0.975465002154578
3,NGC 4372,,186.43917,-72.65900,300.99315,-9.88399,5.8,7.1,2.9,-4.9,-1.0,-2.17,4,0.39,15.50,15.03,7.24,-7.79,0.31,1.10,0.72,1.50,F5,0.15,72.3,1.2,64.2,,,1.30,,1.75,3.91,20.58,2.06,8.88,9.59,3080,-0.0334266792811815,-0.296177707914511,-0.954547758075383
4,NGC 6101,,246.45050,-72.20219,317.74609,-15.82483,15.4,11.2,11.0,-10.0,-4.2,-1.98,3,0.05,16.60,16.10,9.16,-6.94,0.06,0.68,0.50,,F5,0.05,361.4,1.7,357.0,,,0.80,,0.97,1.05,20.29,1.65,9.21,9.22,3080,-0.28020211432929,-0.122123299851334,-0.952141100236103
5,NGC 104,47 Tuc,6.02363,-72.08128,305.89481,-44.88934,4.5,7.4,1.9,-2.6,-3.1,-0.72,10,0.04,14.06,13.37,3.95,-9.42,0.37,0.88,0.53,1.14,G4,0.09,-18.0,0.1,-26.7,11.0,0.3,2.07,,0.36,3.17,14.38,4.88,7.84,9.55,3080,0.0322861801487675,0.305968826839869,-0.951493919882642
6,NGC 4833,,194.89133,-70.87650,303.60401,-8.01536,6.6,7.0,3.6,-5.4,-0.9,-1.85,4,0.32,15.60,15.08,6.91,-8.17,0.29,0.93,0.63,1.33,F3,0.07,200.2,1.2,192.9,,,1.25,,1.00,2.41,18.48,3.00,8.78,9.42,3080,-0.0841902140063945,-0.316602803401594,-0.94481462348114
7,NGC 362,,15.80942,-70.84878,301.53298,-46.24741,8.6,9.4,3.1,-5.1,-6.2,-1.26,5,0.05,15.44,14.83,6.40,-8.43,0.16,0.77,0.49,1.01,F9,0.01,223.5,0.5,214.0,6.4,0.3,1.76,c:,0.18,0.82,14.80,4.74,7.76,8.93,3080,0.0893768312685349,0.315653002682519,-0.944656002960816
8,NGC 6362,,262.97913,-67.04833,325.55451,-17.56977,7.6,5.1,6.0,-4.1,-2.3,-0.99,4,0.09,15.33,14.68,7.73,-6.95,0.29,0.85,0.56,1.14,G3,0.07,-13.1,0.6,-15.6,2.8,0.4,1.09,,1.13,2.05,19.31,2.29,8.80,9.20,3080,-0.387030472191066,-0.0476645085704359,-0.920834137192089
9,NGC 2808,,138.01292,-64.86350,282.19302,-11.25259,9.6,11.1,2.0,-9.2,-1.9,-1.14,4,0.22,16.22,15.59,6.20,-9.39,0.28,0.92,0.57,1.18,F7,0.12,101.6,0.7,89.2,13.4,1.2,1.56,,0.25,0.80,15.08,4.66,8.24,9.15,3080,0.284159601486545,-0.315734322009584,-0.905298381081153
10,NGC 6752,,287.71713,-59.98456,336.49291,-25.62835,4.0,5.2,3.3,-1.4,-1.7,-1.54,8,0.04,13.70,13.13,5.40,-7.73,0.07,0.66,0.43,0.93,F4/,0.04,-26.7,0.2,-27.3,4.9,0.4,2.50,c,0.17,1.91,14.88,5.04,6.88,8.87,3080,-0.476507636761033,0.152229928253902,-0.865890594158539
11,Lynga 7,BH184,242.76521,-55.31778,328.76908,-2.79734,8.0,4.3,6.8,-4.1,-0.4,-1.01,3,0.73,17.43,16.78,10.18,-6.60,,,,,,,8.0,5.0,8.0,,,0.95,,0.90,1.20,,,,8.83,3080,-0.505941585095862,-0.260407144417368,-0.822320637955219
12,NGC 1261,,48.06754,-55.21622,270.53871,-52.12435,16.3,18.1,0.1,-10.0,-12.9,-1.27,3,0.01,16.70,16.09,8.29,-7.80,0.13,0.72,0.45,0.93,F7,0.07,68.2,4.6,54.9,,,1.16,,0.35,0.68,17.73,2.99,8.59,9.12,3080,0.424399735437505,0.381226304349578,-0.821310763007851
13,NGC 6397,,265.17537,-53.67433,338.16501,-11.95952,2.3,6.0,2.1,-0.8,-0.5,-2.02,7,0.18,12.87,12.37,5.73,-6.64,0.12,0.73,0.49,1.03,F4,0.07,18.8,0.1,20.3,4.5,0.2,2.50,c,0.05,2.90,15.47,5.76,4.94,8.60,3080,-0.590275251396162,-0.0498222886833783,-0.805662998492265
14,NGC 6584,,274.65667,-52.21578,342.14348,-16.41393,13.5,7.0,12.3,-4.0,-3.8,-1.50,2,0.10,16.53,15.96,8.27,-7.69,0.17,0.76,0.50,1.04,F6,,222.9,15.0,224.9,,,1.47,,0.26,0.73,17.63,3.33,8.13,9.02,3080,-0.610666998754317,0.0497410202887055,-0.790323761209945
15,NGC 5286,,206.61171,-51.37425,311.61418,10.56780,11.7,8.9,7.6,-8.6,2.1,-1.69,4,0.24,16.63,16.08,7.34,-8.74,0.28,0.88,0.58,1.19,F5,0.12,57.4,1.5,54.3,8.1,1.0,1.41,,0.28,0.73,16.22,4.10,8.40,9.11,3080,-0.279619051827803,-0.558101456352789,-0.781240008110066
16,Rup 106,,189.66750,-51.15028,300.88801,11.67079,21.2,18.5,10.7,-17.8,4.3,-1.68,6,0.20,17.80,17.25,10.90,-6.35,,,,,,,-44.0,3.0,-49.7,,,0.70,,1.00,1.05,21.82,1.10,9.41,9.34,3080,-0.105339257441901,-0.618371822466546,-0.778793894442549
17,NGC 5927,,232.00287,-50.67303,326.60412,4.85980,7.7,4.6,6.4,-4.2,0.7,-0.49,5,0.45,16.55,15.82,8.01,-7.81,0.85,1.31,0.79,1.63,G2,0.04,-107.5,0.9,-107.2,,,1.60,,0.42,1.10,16.91,4.09,8.39,8.94,3080,-0.499417524157009,-0.390147378218886,-0.773541957384222
18,NGC 5946,,233.86883,-50.65967,327.58266,4.19097,10.6,5.8,8.9,-5.6,0.8,-1.29,4,0.54,17.40,16.79,9.61,-7.18,0.45,1.29,0.77,1.58,F7/,0.16,128.4,1.8,128.9,4.0,2.9,2.50,c,0.08,0.89,17.19,4.68,6.90,8.91,3080,-0.51200211004875,-0.37378513633906,-0.773394149937545
19,BH 176,,234.78104,-50.05272,328.41313,4.33665,18.9,12.9,16.1,-9.9,1.4,0.00,1,0.54,18.86,18.06,14.00,-4.06,,,,,,,,,,,,0.85,,0.90,0.90,23.36,0.97,9.14,8.79,3080,-0.524551896529128,-0.370290655804287,-0.766635596663582
20,AM 1,E 1,58.75958,-49.61528,258.36133,-48.47073,123.3,124.6,-16.5,-80.1,-92.3,-1.70,2,0.00,21.00,20.45,15.72,-4.73,,0.72,,,,,116.0,20.0,101.3,,,1.36,,0.17,0.41,23.62,0.03,8.96,9.61,3080,0.553967989168323,0.336029265141063,-0.761711100054057
21,NGC 6352,,261.37129,-48.42217,341.42142,-7.16620,5.6,3.3,5.3,-1.8,-0.7,-0.64,5,0.22,15.13,14.43,7.96,-6.47,0.64,1.06,0.66,1.50,G4,0.07,-137.0,1.1,-134.1,,,1.10,,0.83,2.05,18.17,3.17,8.46,8.92,3080,-0.65612536827853,-0.0995659321606434,-0.748054895214479
