__row,alt_name,bii,class,constell,dec,dimension,lii,name,notes,object_type,ra,vmag,vmag_uncert,__x_ra_dec,__y_ra_dec,__z_ra_dec
1,NGC 6475,-4.5212902,3600,SCO,-34.8167,80,355.8456737,M 7,,OC,268.4748,3.3,,-0.820692314733864,-0.0218518472558574,-0.570952380946327
2,NGC 6637,-10.2731749,3080,SGR,-32.3500,7,1.7225783,M 69,,GB,277.8498,7.7,,-0.836878967202072,0.11537929464998,-0.535089910782166
3,NGC 6681,-12.5107943,3080,SGR,-32.3000,8,2.8444831,M 70,,GB,280.7998,8.1,,-0.830290357820043,0.158383369786442,-0.534352533339327
4,NGC 6405,-0.7155348,3600,SCO,-32.2167,15,356.5852162,M 6,,OC,265.0248,4.2,,-0.842850583375694,-0.0733722703410911,-0.533122316216688
5,NGC 6809,-23.2733634,3080,SGR,-30.9667,19,8.7909942,M 55,,GB,294.9998,7.0,,-0.777129829218822,0.362378388120042,-0.514539728652555
6,NGC 6715,-14.0974428,3080,SGR,-30.4833,9,5.6077231,M 54,,GB,283.7748,7.7,,-0.83699113456704,0.205194504139921,-0.507287942027948
7,NGC 6266,7.3185708,3080,OPH,-30.1166,14,353.5698811,M 62,,GB,255.2998,6.6,,-0.836691322507681,-0.219504904449309,-0.501762122686684
8,NGC 5236,31.9724765,6200,HYA,-29.8666,11X10,314.5796653,M 83,,S,204.2498,7.6,:,-0.35616771294255,-0.790669395747874,-0.497982396159709
9,NGC 4590,36.0453339,3080,HYA,-26.7499,12,299.6356407,M 68,,GB,189.8748,8.2,,-0.153142795897352,-0.879749736063565,-0.45009741830056
10,NGC 6121,15.9648287,3080,SCO,-26.5333,26,350.9692185,M 4,,GB,245.8998,5.9,,-0.816688568284957,-0.365325666203569,-0.446717964767017
11,NGC 6273,9.3883966,3080,OPH,-26.2667,14,356.8659403,M 19,,GB,255.6498,7.2,,-0.868764854829136,-0.222256025852417,-0.442549303452169
12,NGC 6626,-5.5696367,3080,SGR,-24.8667,11,7.7960404,M 28,,GB,276.1248,6.9,:,-0.902109802485744,0.0968028598528204,-0.420508157570631
13,NGC 1904,-29.2898547,3080,LEP,-24.5500,9,227.2840613,M 79,,GB,81.1249,8.0,,0.89870827287334,0.140334286598041,-0.415487338283655
14,NGC 6523,-1.2015167,3500,SGR,-24.3833,90X40,5.9809983,M 8,LAGOON NEBULA,DI,270.9498,5.8,:,-0.910678636174846,0.0150980201248781,-0.412839522578727
15,NGC 6656,-7.5498561,3080,SGR,-23.9000,24,9.8967111,M 22,,GB,279.0998,5.1,,-0.902747375548629,0.144593688799871,-0.405141754327184
16,NGC 2447,0.1495137,3600,PUP,-23.8666,22,240.0587793,M 93,,OC,116.1499,6.2,:,0.820886500047255,-0.403034468484325,-0.40460915863797
17,NGC 7099,-46.8435102,3080,CAP,-23.1834,11,27.1771312,M 30,,GB,325.0998,7.5,,-0.525947103790029,0.753922622109073,-0.393675404219086
18,NGC 6514,-0.2978383,3500,SGR,-23.0333,29X27,7.0209586,M 20,TRIFID NEBULA,DI,270.6498,8.5,:,-0.920218188894194,0.0104370037001853,-0.391266601925147
