identifier,ra_deg,dec_deg,galactic_longitude_deg,galactic_latitude_deg,major_axis_arcmin,minor_axis_arcmin,morphology,flux_1ghz_jy,flux_limit_flag,flux_uncertain,spectral_index,spectral_index_flag,alternate_names
G000.0+00.0,266.4333333333333,-29.0,359.9584396250501,-0.054415011906850747,3.5,2.5,S,100.0,,?,0.800000011920929,?,Sgr A East
G000.3+00.0,266.56249999999994,-28.633333333333333,0.33044322596007025,0.03974179414592459,15.0,8.0,S,22.0,,,0.6000000238418579,,
G000.9+00.1,266.8375,-28.15,0.8691458047680222,0.08375036818311367,8.0,8.0,C,18.0,,?,nan,v,
G001.0-00.1,267.125,-28.15,1.0001828055611084,-0.1332475649742209,8.0,8.0,S,15.0,,,0.6000000238418579,?,
G001.4-00.1,267.41249999999997,-27.766666666666666,1.4595531406403204,-0.15355810009709484,10.0,10.0,S,2.0,,?,nan,?,
G001.9+00.3,267.18749999999994,-27.166666666666668,1.8712283023262677,0.3264205842165502,1.5,1.5,S,0.6000000238418579,,,0.6000000238418579,,
G003.1-00.6,268.875,-26.583333333333332,3.1403492576770615,-0.6712508910913423,52.0,28.0,S,5.0,,,0.8999999761581421,?,
G003.7-00.2,268.8583333333333,-25.833333333333332,3.7805413481852304,-0.2802169702720403,14.0,11.0,S,2.299999952316284,,,0.6499999761581421,,
G003.8+00.3,268.2291666666667,-25.466666666666665,3.809578597363126,0.39452412622623073,18.0,18.0,S?,3.0,,?,0.6000000238418579,,
G004.2-03.5,272.22916666666663,-27.05,4.210480837328661,-3.505758822720176,28.0,28.0,S,3.200000047683716,,?,0.6000000238418579,?,
G004.5+06.8,262.67499999999995,-21.483333333333334,4.526294868344136,6.820243110241319,3.0,3.0,S,19.0,,,0.6399999856948853,,"Kepler, SN1604, 3C358"
G004.8+06.2,263.35416666666663,-21.566666666666666,4.798088121591682,6.243008506471014,18.0,18.0,S,3.0,,,0.6000000238418579,,
G005.2-02.6,271.87499999999994,-25.75,5.196664265400053,-2.599751594700484,18.0,18.0,S,2.5999999046325684,,?,0.6000000238418579,?,
G005.4-01.2,270.54166666666663,-24.9,5.348362632965517,-1.1327986630001337,35.0,35.0,C?,35.0,,?,0.20000000298023224,?,Milne 56
G005.5+00.3,269.26666666666665,-24.0,5.551369231885578,0.32180558316300756,15.0,12.0,S,5.5,,,0.699999988079071,,
G005.9+03.1,266.8333333333333,-22.266666666666666,5.905003543577572,3.1300104758177376,20.0,20.0,S,3.299999952316284,,?,0.4000000059604645,?,
G006.1+00.5,269.3708333333333,-23.416666666666668,6.103939473145006,0.5317044508727534,18.0,12.0,S,4.5,,,0.8999999761581421,,
G006.1+01.2,268.72916666666663,-23.083333333333332,6.095590342955044,1.2089175667340424,30.0,26.0,F,4.0,,?,0.30000001192092896,?,
G006.4-00.1,270.12499999999994,-23.433333333333334,6.4345809936863825,-0.07643397030709485,48.0,48.0,C,310.0,,,nan,v,W28
G006.4+04.0,266.29166666666663,-21.366666666666667,6.416264670450992,4.025838016285667,31.0,31.0,S,1.2999999523162842,,?,0.4000000059604645,?,
G006.5-00.4,270.5458333333333,-23.566666666666666,6.509822961873644,-0.47775417483954774,18.0,18.0,S,27.0,,,0.6000000238418579,,
G007.0-00.1,270.4583333333333,-22.9,7.049686368867736,-0.07842382811859504,15.0,15.0,S,2.5,,?,0.5,?,
G007.2+00.2,270.2791666666666,-22.633333333333333,7.199630953792749,0.1971142702198407,12.0,12.0,S,2.799999952316284,,,0.6000000238418579,,
G007.5-01.7,272.5,-23.166666666666668,7.73480233529382,-1.8481961609420408,100.0,100.0,S,18.0,,?,0.699999988079071,?,
G007.7-03.7,274.35416666666663,-24.066666666666666,7.753695005297443,-3.7706114082884343,22.0,22.0,S,11.0,,,0.3199999928474426,,1814-24
G008.7-05.0,276.0416666666666,-23.8,8.711634724734568,-5.010715009977953,26.0,26.0,S,4.400000095367432,,,0.30000001192092896,,
G008.7-00.1,271.37499999999994,-21.433333333333334,8.744205781148755,-0.09628746998982324,45.0,45.0,S?,80.0,,,0.5,,(W30)
G008.9+00.4,270.9916666666667,-21.05,8.903146168707103,0.4030501384096523,24.0,24.0,S,9.0,,,0.6000000238418579,,
G009.7-00.0,271.84166666666664,-20.583333333333332,9.698719228886535,-0.06181154270194746,15.0,11.0,S,3.700000047683716,,,0.6000000238418579,,
G009.8+00.6,271.2833333333333,-20.233333333333334,9.748736158624727,0.565744576895567,12.0,12.0,S,3.9000000953674316,,,0.5,,
G009.9-00.8,272.6708333333333,-20.716666666666665,9.957972408314465,-0.8051694044441962,12.0,12.0,S,6.699999809265137,,,0.4000000059604645,,
G011.0-00.0,272.51666666666665,-19.416666666666668,11.026611851352188,-0.05081006879661475,11.0,9.0,S,1.2999999523162842,,,0.6000000238418579,,
G011.1-00.7,273.1916666666666,-19.633333333333333,11.143004774178936,-0.7127221343553186,11.0,7.0,S,1.0,,,0.699999988079071,,
G011.1+00.1,272.44583333333327,-19.2,11.183976643105206,0.11243696406836774,12.0,10.0,S,2.299999952316284,,,0.4000000059604645,,
G011.2-00.3,272.86249999999995,-19.416666666666668,11.183919815247176,-0.3365332272032244,4.0,4.0,C,22.0,,,0.5,,
G011.4-00.1,272.6958333333333,-19.083333333333332,11.400188483283195,-0.03804046477283473,8.0,8.0,S?,6.0,,,0.5,,
G011.8-00.2,273.1041666666666,-18.733333333333334,11.892902112482906,-0.2082190821040572,4.0,4.0,S,0.699999988079071,,,0.30000001192092896,,
G012.0-00.1,273.0458333333333,-18.616666666666667,11.96867609580134,-0.10370422366940084,7.0,7.0,?,3.5,,,0.699999988079071,,
G012.2+00.3,272.8208333333333,-18.166666666666668,12.260460568368535,0.2999633725510367,6.0,5.0,S,0.800000011920929,,,0.699999988079071,,
G012.5+00.2,273.0583333333333,-17.916666666666668,12.588269411557997,0.22225047603362708,6.0,5.0,C?,0.6000000238418579,,,0.4000000059604645,,
G012.7-00.0,273.3291666666666,-17.9,12.726552869155112,0.004143389669509872,6.0,6.0,S,0.800000011920929,,,0.800000011920929,,
G012.8-00.0,273.4041666666666,-17.816666666666666,12.833898827203651,-0.018600757654861886,3.0,3.0,C?,0.800000011920929,,,0.5,,
G013.1-00.5,273.99999999999994,-17.816666666666666,13.104744880405601,-0.5170234624559772,38.0,28.0,S,11.0,,?,0.6000000238418579,?,
G013.3-01.3,274.8333333333333,-18.0,13.31932335807836,-1.302109615946061,70.0,40.0,S?,nan,,?,nan,?,
G013.5+00.2,273.5583333333333,-17.2,13.445739621133914,0.1473670753139148,5.0,4.0,S,3.5,,?,1.0,?,
G014.1-00.1,274.16666666666663,-16.683333333333334,14.177347362235745,-0.1178463740805582,6.0,5.0,S,0.5,,,0.6000000238418579,,
G015.1-01.6,275.99999999999994,-16.566666666666666,15.10855110589376,-1.612060371923528,30.0,24.0,S?,5.5,,?,0.0,?,
G015.4+00.1,274.50833333333327,-15.45,15.418723854036484,0.1786144621053201,15.0,14.0,C?,5.599999904632568,,,0.6200000047683716,,
